,Sample.Name,COSMIC.identifier,Whole.Exome.Sequencing..WES.,Copy.Number.Alterations..CNA.,Gene.Expression,Methylation,Drug.Response,GDSC.Tissue.descriptor.1,GDSC.Tissue.descriptor.2,Cancer.Type..matching.TCGA.label.,Microsatellite..instability.Status..MSI.,Screen.Medium,Growth.Properties,cellid,tissueid
TC-71,TC-71,1240221,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,D/F12,Adherent,TC-71,bone
KP-2,KP-2,1298218,Y,N,Y,N,Y,pancreas,pancreas,PAAD,,D/F12,Adherent,KP-2,pancreas
OCI-LY-7,OCI-LY7,1659819,Y,Y,Y,N,Y,lymphoma,B_cell_lymphoma,DLBC,,D/F12,Suspension,OCI-LY-7,haematopoietic_and_lymphoid_tissue
NCI-H226,NCI-H226,905941,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,NCI-H226,lung
COLO-829,COLO-829,687448,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,COLO-829,skin
SU.86.86,SU8686,1240218,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,SU.86.86,pancreas
MFE-296,MFE-296,908130,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSI-H,D/F12,Adherent,MFE-296,endometrium
SW 1271,SW1271,1299062,Y,Y,Y,N,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,SW 1271,lung
D-566MG,D-566MG,946377,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,D-566MG,central_nervous_system
JHU-028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JHU-028,upper_aerodigestive_tract
K5,K5,924238,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent,K5,thyroid
LC-1-sq,LC-1-sq,1298223,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,LC-1-sq,lung
HCC1395,HCC1395,749712,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC1395,breast
M980513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M980513,skin
JHU-029,JHU-029,1298156,Y,Y,Y,N,Y,aero_dig_tract,head and neck,HNSC,,R,Adherent,JHU-029,upper_aerodigestive_tract
NCI-H716,NCI-H716,908458,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Suspension,NCI-H716,large_intestine
PE01,PEO1,1480372,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent,PE01,ovary
LB831-BLC,LB831-BLC,753584,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,LB831-BLC,urinary_tract
PL45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PL45,pancreas
HC-1,HC-1,907044,Y,Y,Y,Y,Y,leukemia,hairy_cell_leukaemia,,MSS/MSI-L,R,Suspension,HC-1,haematopoietic_and_lymphoid_tissue
TT,TT,930299,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent,TT,thyroid
JURKAT,Jurkat,998184,Y,Y,Y,Y,Y,leukemia,T_cell_leukemia,ALL,MSI-H,R,Suspension,JURKAT,haematopoietic_and_lymphoid_tissue
MOG-G-UVW,MOG-G-UVW,908145,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,MOG-G-UVW,central_nervous_system
MET-2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET-2B,skin
JIMT-1,JIMT-1,1298157,Y,Y,Y,N,Y,breast,breast,BRCA,,D/F12,Adherent,JIMT-1,breast
HSC-2,HSC-2,753562,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,HSC-2,upper_aerodigestive_tract
LB996-RCC,LB996-RCC,753585,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,LB996-RCC,kidney
MFE-319,MFE-319,1240174,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSI-H,D/F12,Adherent,MFE-319,endometrium
KLE,KLE,924187,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSS/MSI-L,D/F12,Adherent,KLE,endometrium
MES-SA,MES-SA,908127,Y,Y,Y,Y,Y,urogenital_system,uterus,,MSS/MSI-L,R,Adherent,MES-SA,endometrium
MFE-280,MFE-280,908129,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSS/MSI-L,D/F12,Adherent,MFE-280,endometrium
AN3-CA,AN3-CA,910781,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSI-H,D/F12,Adherent,AN3-CA,endometrium
EN,EN,1240127,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSS/MSI-L,R,Adherent,EN,endometrium
JEG-3,JEG-3,907176,Y,Y,Y,Y,Y,urogenital_system,urogenital_system_other,,MSS/MSI-L,D/F12,Adherent,JEG-3,placenta
SW954,SW954,924247,Y,Y,Y,Y,Y,urogenital_system,urogenital_system_other,,MSS/MSI-L,D/F12,Adherent,SW954,vulva
SW962,SW962,909758,Y,Y,Y,Y,Y,urogenital_system,urogenital_system_other,,MSS/MSI-L,D/F12,Adherent,SW962,vulva
SKN,SKN,1240215,Y,Y,Y,Y,Y,urogenital_system,uterus,,MSS/MSI-L,D/F12,Adherent,SKN,soft_tissue
HEC-1,HEC-1,907051,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSI-H,D/F12,Adherent,HEC-1,endometrium
COLO-684,COLO-684,910691,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSI-H,R,Suspension,COLO-684,endometrium
Ishikawa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ishikawa,endometrium
DIFI,DIFI,1789883,Y,Y,N,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,DIFI,large_intestine
LNCaP-Clone-FGC,LNCaP-Clone-FGC,907788,Y,Y,Y,Y,Y,urogenital_system,prostate,PRAD,MSI-H,R,Adherent,LNCaP-Clone-FGC,prostate
STS-0421,STS-0421,1299061,Y,Y,Y,N,Y,soft_tissue,soft_tissue_other,,,R,Adherent,STS-0421,soft_tissue
Ishikawa (Heraklio) 02 ER-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ishikawa (Heraklio) 02 ER-,endometrium
22RV1,22RV1,924100,Y,Y,Y,Y,Y,urogenital_system,prostate,PRAD,MSI-H,R,Adherent,22RV1,prostate
CAL-120,CAL-120,906826,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,CAL-120,breast
SiHa,SiHa,930297,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,SiHa,cervix
SW684,SW684,909754,Y,Y,Y,Y,Y,soft_tissue,fibrosarcoma,,MSS/MSI-L,D/F12,Adherent,SW684,soft_tissue
NCI-H1048,NCI-H1048,687995,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSI-H,D/F12,Adherent,NCI-H1048,lung
NMC-G1,NMC-G1,908449,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,NMC-G1,central_nervous_system
Hs-578-T,Hs-578-T,905957,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,Hs-578-T,breast
HCC1419,HCC1419,907045,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC1419,breast
CRO-AP2,CRO-AP2,906807,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,CRO-AP2,haematopoietic_and_lymphoid_tissue
HEL,HEL,907053,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Semi-Adherent,HEL,haematopoietic_and_lymphoid_tissue
GMS-10,GMS-10,906873,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,GMS-10,central_nervous_system
SCC-9,SCC-9,909709,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,SCC-9,upper_aerodigestive_tract
HOP-92,HOP-92,905973,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,D/F12,Adherent,HOP-92,lung
OAW-42,OAW-42,910548,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,OAW-42,ovary
OCI-M1,OCI-M1,1330985,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension,OCI-M1,haematopoietic_and_lymphoid_tissue
VMRC-LCD,VMRC-LCD,713869,Y,Y,Y,N,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,,D/F12,Adherent,VMRC-LCD,lung
ETK-1,ETK-1,906861,Y,Y,Y,Y,Y,digestive_system,biliary_tract,,MSS/MSI-L,R,Adherent,ETK-1,biliary_tract
DK-MG,DK-MG,906839,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent,DK-MG,central_nervous_system
HCC202,HCC202,1290906,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC202,breast
SNU-182,SNU-182,1240216,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,R,Adherent,SNU-182,liver
OE33,OE33,910549,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,OE33,oesophagus
NCI-H1666,NCI-H1666,908473,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Semi-Adherent,NCI-H1666,lung
OVCA 420,OVCA420,1480364,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,OVCA 420,ovary
C32,C32,906830,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,C32,skin
EGI-1,EGI-1,906853,Y,Y,Y,Y,Y,digestive_system,biliary_tract,,MSS/MSI-L,D/F12,Adherent,EGI-1,biliary_tract
HCC1500,HCC1500,1303900,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC1500,breast
MONO-MAC-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MONO-MAC-1,haematopoietic_and_lymphoid_tissue
SK-N-SH,SK-N-SH,717431,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,SK-N-SH,autonomic_ganglia
JHH-2,JHH-2,1240157,Y,N,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,JHH-2,liver
OVCAR-8,OVCAR-8,905991,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent,OVCAR-8,ovary
SW1710,SW1710,909749,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,SW1710,urinary_tract
BL-41,BL-41,910706,Y,Y,Y,Y,Y,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension,BL-41,haematopoietic_and_lymphoid_tissue
TE 441.T,TE-441-T,924248,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,D/F12,Adherent,TE 441.T,soft_tissue
SW1783,SW1783,909750,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,SW1783,central_nervous_system
23132-87,23132-87,910924,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSI-H,R,Adherent,23132-87,stomach
ES7,ES7,684059,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,ES7,bone
MS-1,MS-1,753594,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,MS-1,lung
MDA-MB-231,MDA-MB-231,905960,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,MDA-MB-231,breast
Ramos-2G6-4C10,Ramos-2G6-4C10,910401,Y,Y,Y,Y,Y,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension,Ramos-2G6-4C10,haematopoietic_and_lymphoid_tissue
NCI-H1650,NCI-H1650,687800,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1650,lung
UWB1.289,UWB1.289,1480374,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,UWB1.289,ovary
SNU-175,SNU-175,1659928,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,R,Suspension,SNU-175,large_intestine
H2810,H2810,1240137,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,H2810,lung
AMO-1,AMO-1,1295741,Y,Y,Y,Y,Y,myeloma,haematopoietic_neoplasm other,MM,MSS/MSI-L,R,Suspension,AMO-1,haematopoietic_and_lymphoid_tissue
KY821,KY821,907300,Y,Y,Y,Y,Y,leukemia,leukemia,LAML,MSS/MSI-L,R,Suspension,KY821,haematopoietic_and_lymphoid_tissue
MZ2-MEL,MZ2-MEL,971777,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,MZ2-MEL,skin
SHP-77,SHP-77,724872,Y,Y,Y,N,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent,SHP-77,lung
RCC-JW,RCC-JW,1524416,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,RCC-JW,kidney
NCI-H2405,NCI-H2405,687821,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H2405,lung
COR-L32,COR-L32,1322212,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,COR-L32,lung
SF295,SF295,905985,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,SF295,central_nervous_system
DSH1,DSH1,753552,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,R,Adherent,DSH1,urinary_tract
ACHN,ACHN,905950,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent,ACHN,kidney
A2780,A2780,906804,Y,Y,Y,Y,Y,urogenital_system,ovary,UNABLE TO CLASSIFY,MSS/MSI-L,R,Semi-Adherent,A2780,ovary
KATOIII,KATOIII,907276,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Semi-Adherent,KATOIII,stomach
MOLM-13,MOLM-13,1330947,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,MOLM-13,haematopoietic_and_lymphoid_tissue
SK-ES-1,SK-ES-1,684072,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Semi-Adherent,SK-ES-1,bone
RH-18,RH-18,971774,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,R,Adherent,RH-18,soft_tissue
NCI-H2029,NCI-H2029,688011,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,NCI-H2029,lung
NCI-H1341,NCI-H1341,1330964,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H1341,lung
AsPC-1,AsPC-1,910702,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,AsPC-1,pancreas
HT-1197,HT-1197,907065,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,HT-1197,urinary_tract
BE-13,BE-13,906763,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension,BE-13,haematopoietic_and_lymphoid_tissue
KE-37,KE-37,907277,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension,KE-37,haematopoietic_and_lymphoid_tissue
U-698-M,U-698-M,909777,Y,Y,Y,Y,Y,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension,U-698-M,haematopoietic_and_lymphoid_tissue
KYM-1,KYM-1,1240166,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,D/F12,Adherent,KYM-1,soft_tissue
RT4,RT4,687455,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,RT4,urinary_tract
NCI-H322M,NCI-H322M,905967,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Suspension,NCI-H322M,lung
Farage,Farage,1297449,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,Farage,haematopoietic_and_lymphoid_tissue
KYSE-180,KYSE-180,907318,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,KYSE-180,oesophagus
MDA-MB-157,MDA-MB-157,925338,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,MDA-MB-157,breast
BHT-101,BHT-101,906696,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent,BHT-101,thyroid
DEL,DEL,906836,Y,Y,Y,Y,Y,lymphoma,lymphoid_neoplasm other,,MSS/MSI-L,R,Suspension,DEL,haematopoietic_and_lymphoid_tissue
LCLC-103H,LCLC-103H,753586,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,LCLC-103H,lung
WM-793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WM-793,skin
KON,KON,1298215,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,KON,upper_aerodigestive_tract
Panc 10.05,PANC-10-05,925348,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,Panc 10.05,pancreas
NCI-H740,NCI-H740,1331055,Y,Y,Y,Y,N,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H740,lung
NCI-H660,NCI-H660,1330975,Y,Y,Y,Y,N,urogenital_system,prostate,,MSS/MSI-L,D/F12,Suspension,NCI-H660,prostate
CS1,CS1,1290795,Y,Y,Y,Y,Y,bone,bone_other,,MSS/MSI-L,R,Adherent,CS1,bone
H2373,H2373,1290809,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,H2373,lung
CAKI-1,CAKI-1,905963,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent,CAKI-1,kidney
ECC10,ECC10,906848,Y,Y,Y,Y,Y,digestive_system,stomach,,MSS/MSI-L,R,Suspension,ECC10,stomach
L-1236,L-1236,1330935,Y,Y,Y,Y,Y,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension,L-1236,haematopoietic_and_lymphoid_tissue
YAPC,YAPC,909904,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,YAPC,pancreas
Hs 766T,Hs766T,1298141,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,Hs 766T,pancreas
PE/CA-PJ15,PE/CA-PJ15,1240207,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,PE/CA-PJ15,upper_aerodigestive_tract
NCI-SNU-16,NCI-SNU-16,908446,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,R,Suspension,NCI-SNU-16,stomach
KARPAS-299,KARPAS-299,907273,Y,Y,Y,Y,Y,lymphoma,anaplastic_large_cell_lymphoma,,MSS/MSI-L,R,Suspension,KARPAS-299,haematopoietic_and_lymphoid_tissue
Raji,Raji,909262,Y,Y,Y,Y,Y,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension,Raji,haematopoietic_and_lymphoid_tissue
ES1,ES1,949158,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,ES1,bone
COLO-679,COLO-679,906818,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,COLO-679,skin
EW-13,EW-13,949166,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Suspension,EW-13,bone
LN-405,LN-405,910694,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,LN-405,central_nervous_system
TE-10,TE-10,753622,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,TE-10,oesophagus
HCE-T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HCE-T,upper_aerodigestive_tract
NCI-H1304,NCI-H1304,753599,Y,Y,Y,N,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H1304,lung
NU-DUL-1,NU-DUL-1,1330982,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,NU-DUL-1,haematopoietic_and_lymphoid_tissue
NCI-H2172,NCI-H2172,1298353,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,R,Adherent,NCI-H2172,lung
NCI-N87,NCI-N87,908461,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent,NCI-N87,stomach
HDLM-2,HDLM-2,924110,Y,Y,Y,Y,Y,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension,HDLM-2,haematopoietic_and_lymphoid_tissue
CAL-78,CAL-78,1290765,Y,Y,Y,Y,Y,bone,chondrosarcoma,,MSS/MSI-L,R,Adherent,CAL-78,soft_tissue
HSC-3,HSC-3,907061,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,HSC-3,upper_aerodigestive_tract
L-540,L-540,907323,Y,Y,Y,Y,Y,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension,L-540,haematopoietic_and_lymphoid_tissue
TE-9,TE-9,946353,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,TE-9,oesophagus
HCC827,HCC-827,1240146,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,HCC827,lung
NCI-H1915,NCI-H1915,1240184,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,NCI-H1915,lung
NBsusSR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBsusSR,autonomic_ganglia
LK-2,LK-2,687787,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,LK-2,lung
MIA-PaCa-2,MIA-PaCa-2,724870,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,MIA-PaCa-2,pancreas
H2731,H2731,1240134,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,H2731,lung
COLO-668,COLO-668,910692,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Adherent,COLO-668,lung
HuO9,HuO9,907072,Y,Y,Y,Y,Y,bone,osteosarcoma,,MSS/MSI-L,R,Adherent,HuO9,bone
GAK,GAK,910932,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,GAK,skin
SLVL,SLVL,1331032,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,SLVL,haematopoietic_and_lymphoid_tissue
SW948,SW948,909757,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,SW948,large_intestine
NCI-H1623,NCI-H1623,687798,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H1623,lung
OVK18,OVK-18,1480371,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,D/F12,Adherent,OVK18,ovary
IOSE-364-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IOSE-364-,ovary
IST-MEL1,IST-MEL1,907172,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,IST-MEL1,skin
D-263MG,D-263MG,946368,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,D-263MG,central_nervous_system
HPAC,HPAC,1298136,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,HPAC,pancreas
GP5d,GP5d,907291,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,D/F12,Adherent,GP5d,large_intestine
SNU-449,SNU-449,909738,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,R,Adherent,SNU-449,liver
HCE-4,HCE-4,753559,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,HCE-4,oesophagus
OCI-AML2,OCI-AML2,910947,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension,OCI-AML2,haematopoietic_and_lymphoid_tissue
OCI-LY-19,OCI-LY-19,1330984,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,D/F12,Suspension,OCI-LY-19,haematopoietic_and_lymphoid_tissue
NCI-H2286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H2286,lung
5637,5637,687452,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,R,Adherent,5637,urinary_tract
DMS-53,DMS-53,907295,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,DMS-53,lung
Hs-633T,Hs633T,1240149,Y,N,Y,Y,Y,soft_tissue,fibrosarcoma,,MSS/MSI-L,D/F12,Adherent,Hs-633T,misc
